Black Hole
Size,Stones (Size),Duration,Stones (Duration),Cooldown,Stones (Cooldown)
30m,0,15s,0,200s,0
32m,5,16s,5,190s,10
34m,12,17s,14,180s,28
36m,19,18s,23,170s,46
38m,26,19s,32,160s,64
40m,34,20s,41,150s,82
42m,43,21s,50,140s,100
44m,53,22s,59,130s,118
46m,64,23s,68,120s,136
48m,76,24s,77,110s,154
50m,89,25s,86,100s,172
52m,103,26s,95,90s,190
54m,118,27s,104,80s,208
56m,134,28s,113,70s,226
58m,151,29s,122,60s,244
60m,169,30s,131,50s,262
62m,189,31s,165,,
64m,211,32s,224,,
66m,236,33s,308,,
68m,264,34s,417,,
70m,295,35s,551,,
,36s,710,,,
,37s,894,,,
,38s,1103,,,
