Golden Tower
Multiplier,Stones (Multiplier),Duration,Stones (Duration),Cooldown,Stones (Cooldown)
5.0×,0,15s,0,300s,0
5.8×,5,16s,5,290s,10
6.6×,13,17s,14,280s,28
7.4×,22,18s,23,270s,46
8.2×,32,19s,32,260s,64
9.0×,43,20s,41,250s,82
9.8×,55,21s,50,240s,100
10.6×,68,22s,59,230s,118
11.4×,82,23s,68,220s,136
12.2×,98,24s,77,210s,154
13.0×,116,25s,87,200s,172
13.8×,138,26s,98,190s,190
14.6×,162,27s,110,180s,208
15.4×,250,28s,123,170s,226
16.2×,350,29s,137,160s,244
17.0×,500,30s,152,150s,262
17.8x,700,31s,168,140s,300
18.6x,950,32s,185,130s,368
19.4x,1250,33s,203,120s,476
20.2x,1600,34s,222,110s,644
21.0x,2000,35s,242,100s,872
,36s,263,,,
,37s,285,,,
,38s,308,,,
,39s,332,,,
,40s,356,,,
,41s,380,,,
,42s,404,,,
,43s,428,,,
,44s,452,,,
,45s,476,,,
,46s,530,,,
,47s,614,,,
,48s,728,,,
,49s,872,,,
,50s,1046,,,
,51s,1250,,,
,52s,1484,,,
,53s,1748,,,
